,Unnamed: 0,x,y,elevation,ssssHCP1.6f450h0.15,HCP1.6f1530h0.15,HCP1.6f5310h0.15,HCP1.6f18330h0.15,HCP1.6f63030h0.15
26766,26766,344117.54,4482827.8,2106.74,273.9717769,82.13203586,39.50405141,33.14409798,25.58825059
26771,26771,344117.41,4482827.86,2106.71,302.9960743,76.05297179,42.11280953,31.30875705,24.61495517
26776,26776,344117.28,4482827.97,2106.67,268.2548699,77.0877061,40.24941087,31.63264074,25.14869782
26781,26781,344117.14,4482828.16,2106.62,411.1775465,80.70927619,43.23084872,33.68390414,26.40456288
26786,26786,344117.02,4482828.34,2106.57,383.9122974,86.2709731,45.09424737,34.43963275,27.44065156
26791,26791,344116.96,4482828.48,2106.51,302.1165502,90.66859392,45.09424737,36.27497369,28.38255035
26796,26796,344116.88,4482828.6,2106.49,396.6653978,101.1452788,45.09424737,37.354586,29.66981204
26801,26801,344116.8,4482828.62,2106.54,349.610855,92.99674612,45.83960683,36.92274107,30.32914119
26806,26806,344116.7,4482828.66,2106.57,345.6529963,87.04702383,49.93908386,36.49089615,30.80009059
26811,26811,344116.58,4482828.75,2106.56,353.1289517,85.106897,49.56640413,37.0307023,30.32914119
26816,26816,344116.41,4482828.85,2106.56,400.1834944,90.28056855,46.95764602,38.54215954,30.98847035
26821,26821,344116.14,4482828.94,2106.56,361.9241933,84.46018806,48.07568521,39.51381062,31.71059276
26826,26826,344115.88,4482829.04,2106.57,417.7739777,79.4158583,47.33032575,38.00235338,30.61171083
26831,26831,344115.65,4482829.14,2106.6,386.1111078,74.63021211,47.70300548,35.84312876,29.13606939
26836,26836,344115.42,4482829.25,2106.61,288.4839256,89.63385961,45.4669271,35.3033226,28.03718746
26841,26841,344115.2,4482829.38,2106.62,400.6232565,84.20150448,41.7401298,34.43963275,27.00109879
